Quarter,Ticker,Net Profit Margin %,Operating Margin %,EPS (Basic),P/E Ratio,Return on Equity,EBITDA Margin %,Debt to Equity Ratio,Current Ratio,Working Capital Turnover,USD Exchange Rate,FDI:GDP %,GDP Growth %,Sectoral IIP,Sectoral IIP (Growth Rate),Inflation,Interest Rate,Next Quarter Adj Close,Inter Quarter Gain %
Q1-14,ACC.ns,7.977,52.329,12.95,99.846,2.921,11.617,0,0.967,-23.896,59.797,1.956,8.02,117.9,5.803,7.85,8,1278.477539,-0.11
Q2-14,ACC.ns,6.915,51.273,10.26,136.053,2.307,9.827,0,0.967,-21.775,60.606,2.088,8.7,114.733,5.389,6.675,8,1450.143066,13.43
Q3-14,ACC.ns,11.739,49.131,17.38,86.263,3.946,5.54,0,0.967,-21.937,61.933,1.797,5.92,116.6,8.836,4.051,8,1310.583862,-9.62
Q4-14,ACC.ns,8.038,54.796,12.6,123.845,2.754,17.231,0,0.899,-7.541,62.238,2.345,7.11,118.567,0.339,5.272,7.5,1170.287109,-10.7
Q1-15,ACC.ns,4.353,57.484,7.11,201.646,1.531,6.371,0,0.899,-7.739,63.471,2.663,7.59,120.467,2.177,5.092,7.25,1188.265259,1.54
Q2-15,ACC.ns,4.201,51.824,6.14,225.961,1.367,6.142,0,0.899,-7.161,64.975,1.915,8.03,117.533,2.44,3.949,6.75,1054.772949,-11.23
Q3-15,ACC.ns,3.5,49.847,5.45,253.138,1.183,4.935,0,0.899,-7.438,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,1357.239624,28.68
Q4-15,ACC.ns,7.929,54.353,12.34,100.49,2.636,11.839,0,1.005,155.618,67.504,2.531,9.09,125.2,5.595,5.259,6.75,1517.679932,11.82
Q1-16,ACC.ns,8.266,53.593,12.74,113.277,2.745,11.703,0,1.005,155.463,66.891,1.33,8.68,126.467,7.601,5.667,6.5,1199.374023,-20.97
Q2-16,ACC.ns,3.356,52.489,4.37,386.43,0.96,5.849,0,1.005,133.955,66.962,3.084,9.67,123.033,7.048,5.163,6.5,1261.111816,5.15
